title,price,rating,product_url,image_url
A Light in the Attic,51.77,3,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,https://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg
Tipping the Velvet,53.74,1,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
Soumission,50.1,1,https://books.toscrape.com/catalogue/soumission_998/index.html,https://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg
Sharp Objects,47.82,4,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
Sapiens: A Brief History of Humankind,54.23,5,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,https://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
The Requiem Red,22.65,1,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,https://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,https://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,https://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,https://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg
The Black Maria,52.15,1,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,https://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,https://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg
Shakespeare's Sonnets,20.66,4,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,https://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg
Set Me Free,17.46,5,https://books.toscrape.com/catalogue/set-me-free_988/index.html,https://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
Rip it Up and Start Again,35.02,5,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,https://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,https://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg
Olio,23.88,1,https://books.toscrape.com/catalogue/olio_984/index.html,https://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg
